DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,2/15/83,HQ,0.3,
APT01,1,2/20/83,HQ,3.5,
APT01,1,2/21/83,HQ,0.5,
APT01,1,3/3/83,HQ,1,
APT01,1,3/4/83,HQ,15,
APT01,1,3/5/83,HQ,1.5,
APT01,1,3/19/83,HQ,5.4,
APT01,1,3/20/83,HQ,1,
APT01,1,3/25/83,HQ,7.8,
APT01,1,3/26/83,HQ,26.2,
APT01,1,3/27/83,HQ,1.2,
APT01,1,3/29/83,HQ,0.5,
APT01,1,3/31/83,HQ,5.3,
APT01,1,4/1/83,HQ,24.2,
APT01,1,4/4/83,HQ,12.2,4/01 to 4/05(values are mean of others)
APT01,1,4/5/83,HQ,11.3,
APT01,1,4/8/83,HQ,5,
APT01,1,4/9/83,HQ,4.5,
APT01,1,4/11/83,HQ,5,
APT01,1,4/12/83,HQ,0.8,
APT01,1,4/13/83,HQ,1.3,
APT01,1,4/21/83,HQ,13.5,
APT01,1,4/27/83,HQ,23.8,
APT01,1,4/30/83,HQ,1.2,
APT01,1,5/5/83,HQ,0.5,
APT01,1,5/11/83,HQ,26.6,
APT01,1,5/13/83,HQ,30,
APT01,1,5/17/83,HQ,18.6,
APT01,1,5/18/83,HQ,0.5,
APT01,1,5/20/83,HQ,26.2,
APT01,1,5/21/83,HQ,8,
APT01,1,5/24/83,HQ,6,
APT01,1,6/3/83,HQ,10,
APT01,1,6/5/83,HQ,1.2,
APT01,1,6/10/83,HQ,12.4,
APT01,1,6/13/83,HQ,28.7,
APT01,1,6/18/83,HQ,4.4,
APT01,1,6/24/83,HQ,1.6,
APT01,1,6/25/83,HQ,3.8,
APT01,1,6/26/83,HQ,2.2,
APT01,1,6/27/83,HQ,5.6,
APT01,1,6/28/83,HQ,10.8,
APT01,1,6/29/83,HQ,3.2,
APT01,1,7/4/83,HQ,1.7,
APT01,1,7/31/83,HQ,4,
APT01,1,8/6/83,HQ,1.9,
APT01,1,8/14/83,HQ,1,
APT01,1,8/20/83,HQ,10.1,
APT01,1,8/23/83,HQ,10.5,
APT01,1,8/27/83,HQ,0,
APT01,1,8/29/83,HQ,0,
APT01,1,9/12/83,HQ,31,
APT01,1,9/14/83,HQ,5.9,
APT01,1,9/15/83,HQ,0.3,
APT01,1,9/19/83,HQ,20,
APT01,1,9/20/83,HQ,8,
APT01,1,10/4/83,HQ,2.8,
APT01,1,10/10/83,HQ,8,
APT01,1,10/11/83,HQ,48.4,
APT01,1,10/15/83,HQ,0.6,
APT01,1,10/19/83,HQ,41,
APT01,1,10/20/83,HQ,0.3,
APT01,1,10/21/83,HQ,16,
APT01,1,10/24/83,HQ,0,
APT01,1,10/29/83,HQ,16.5,
APT01,1,10/30/83,HQ,0,
APT01,1,11/1/83,HQ,0.3,
APT01,1,11/2/83,HQ,1,
APT01,1,11/3/83,HQ,2.8,
APT01,1,11/6/83,HQ,9.5,
APT01,1,11/8/83,HQ,5,
APT01,1,11/9/83,HQ,15.8,
APT01,1,11/18/83,HQ,0.1,
APT01,1,11/22/83,HQ,0.8,
APT01,1,11/23/83,HQ,4.5,
APT01,1,11/26/83,HQ,30.2,
APT01,1,11/27/83,HQ,18.6,
APT01,1,11/29/83,HQ,0.9,
APT01,1,12/2/83,HQ,0.8,
APT01,1,12/3/83,HQ,11,
APT01,1,12/4/83,HQ,0.6,
APT01,1,12/17/83,HQ,0.2,
APT01,1,12/18/83,HQ,0.2,
APT01,1,12/20/83,HQ,7.9,
APT01,1,12/27/83,HQ,3.4,
APT01,1,1/12/84,HQ,1,
APT01,1,1/15/84,HQ,5.1,
APT01,1,2/14/84,HQ,2.6,
APT01,1,2/15/84,HQ,11,
APT01,1,2/16/84,HQ,2,
APT01,1,2/17/84,HQ,1.4,
APT01,1,2/18/84,HQ,3.5,
APT01,1,2/26/84,HQ,3.6,
APT01,1,2/27/84,HQ,0.4,
APT01,1,3/16/84,HQ,20.2,
APT01,1,3/18/84,HQ,33,
APT01,1,3/19/84,HQ,12.5,
APT01,1,3/23/84,HQ,8,
APT01,1,3/24/84,HQ,14,
APT01,1,3/26/84,HQ,11,
APT01,1,3/27/84,HQ,1.7,
APT01,1,3/28/84,HQ,16.8,
APT01,1,4/2/84,HQ,22,
APT01,1,4/3/84,HQ,2.3,
APT01,1,4/7/84,HQ,10.6,
APT01,1,4/8/84,HQ,8.2,
APT01,1,4/11/84,HQ,9.4,
APT01,1,4/14/84,HQ,0.5,
APT01,1,4/15/84,HQ,0.7,
APT01,1,4/20/84,HQ,12.5,
APT01,1,4/21/84,HQ,5,
APT01,1,4/22/84,HQ,1.3,
APT01,1,4/26/84,HQ,14.5,
APT01,1,4/28/84,HQ,0.4,
APT01,1,4/29/84,HQ,35.5,
APT01,1,5/1/84,HQ,0.6,
APT01,1,5/3/84,HQ,2.9,
APT01,1,5/6/84,HQ,3.5,
APT01,1,5/12/84,HQ,0.6,
APT01,1,5/15/84,HQ,3,
APT01,1,5/19/84,HQ,31.4,
APT01,1,5/22/84,HQ,6.1,
APT01,1,5/25/84,HQ,1.1,
APT01,1,5/27/84,HQ,19,
APT01,1,6/6/84,HQ,39.4,
APT01,1,6/7/84,HQ,7.9,
APT01,1,6/8/84,HQ,3.5,
APT01,1,6/9/84,HQ,66.2,
APT01,1,6/12/84,HQ,4,
APT01,1,6/13/84,HQ,11.9,
APT01,1,6/14/84,HQ,11.1,
APT01,1,6/15/84,HQ,41.8,
APT01,1,6/20/84,HQ,0.3,
APT01,1,6/21/84,HQ,35.8,
APT01,1,6/22/84,HQ,29.8,
APT01,1,6/25/84,HQ,0,
APT01,1,6/26/84,HQ,1.8,
APT01,1,6/27/84,HQ,1.8,
APT01,1,6/28/84,HQ,0.3,
APT01,1,7/4/84,HQ,0.4,
APT01,1,7/5/84,HQ,8.6,
APT01,1,7/6/84,HQ,0,
APT01,1,7/14/84,HQ,0,
APT01,1,7/17/84,HQ,13.8,
APT01,1,7/21/84,HQ,10.5,
APT01,1,8/4/84,HQ,0.2,
APT01,1,8/7/84,HQ,3.9,
APT01,1,8/21/84,HQ,34.5,
APT01,1,9/2/84,HQ,14.8,
APT01,1,9/8/84,HQ,2.8,
APT01,1,9/13/84,HQ,29,
APT01,1,9/14/84,HQ,59.5,
APT01,1,9/17/84,HQ,1,
APT01,1,9/22/84,HQ,0.1,
APT01,1,9/25/84,HQ,0.6,
APT01,1,9/27/84,HQ,9.1,
APT01,1,10/4/84,HQ,3,
APT01,1,10/5/84,HQ,6.8,
APT01,1,10/7/84,HQ,0.6,
APT01,1,10/9/84,HQ,2,
APT01,1,10/10/84,HQ,1.5,
APT01,1,10/14/84,HQ,22.3,
APT01,1,10/15/84,HQ,1.8,
APT01,1,10/16/84,HQ,22.3,
APT01,1,10/18/84,HQ,0.3,
APT01,1,10/20/84,HQ,1,
APT01,1,10/21/84,HQ,0.7,
APT01,1,10/24/84,HQ,1.5,
APT01,1,10/25/84,HQ,14.5,
APT01,1,10/31/84,HQ,4.5,
APT01,1,11/1/84,HQ,5.4,
APT01,1,11/10/84,HQ,1.1,
APT01,1,11/17/84,HQ,2.9,
APT01,1,12/5/84,HQ,1.8,
APT01,1,12/9/84,HQ,0.2,
APT01,1,12/13/84,HQ,17.9,
APT01,1,12/15/84,HQ,40,
APT01,1,12/16/84,HQ,2,
APT01,1,12/19/84,HQ,2.3,
APT01,1,12/20/84,HQ,0.5,
APT01,1,12/31/84,HQ,0.5,
APT01,1,1/1/85,HQ,2.5,
APT01,1,1/9/85,HQ,12.1,
APT01,1,1/19/85,HQ,1,
APT01,1,1/29/85,HQ,2.7,
APT01,1,1/30/85,HQ,1.8,
APT01,1,2/4/85,HQ,2.2,
APT01,1,2/10/85,HQ,1.8,
APT01,1,2/20/85,HQ,3,
APT01,1,2/21/85,HQ,6.7,
APT01,1,2/22/85,HQ,17,
APT01,1,2/23/85,HQ,11.6,
APT01,1,2/28/85,HQ,3,
APT01,1,3/3/85,HQ,1.3,
APT01,1,3/10/85,HQ,4.2,
APT01,1,3/12/85,HQ,2,
APT01,1,3/13/85,HQ,0.2,
APT01,1,3/19/85,HQ,10.9,
APT01,1,3/22/85,HQ,1.8,
APT01,1,3/23/85,HQ,1.3,
APT01,1,3/29/85,HQ,0.5,
APT01,1,3/30/85,HQ,9.5,
APT01,1,3/31/85,HQ,4.5,
APT01,1,4/4/85,HQ,5,
APT01,1,4/5/85,HQ,1.5,
APT01,1,4/6/85,HQ,0.8,
APT01,1,4/9/85,HQ,1.6,
APT01,1,4/10/85,HQ,4,
APT01,1,4/12/85,HQ,14.5,
APT01,1,4/13/85,HQ,0,
APT01,1,4/22/85,HQ,0.2,
APT01,1,4/23/85,HQ,4.7,
APT01,1,4/25/85,HQ,10.8,
APT01,1,4/26/85,HQ,49.4,
APT01,1,4/27/85,HQ,23.8,
APT01,1,4/29/85,HQ,1.6,
APT01,1,4/30/85,HQ,12.1,
APT01,1,5/1/85,HQ,1.2,
APT01,1,5/5/85,HQ,0.2,
APT01,1,5/10/85,HQ,0.5,
APT01,1,5/13/85,HQ,14.3,
APT01,1,5/20/85,HQ,2.9,
APT01,1,5/27/85,HQ,12,
APT01,1,5/28/85,HQ,1,
APT01,1,5/29/85,HQ,13.4,
APT01,1,6/1/85,HQ,0.6,
APT01,1,6/3/85,HQ,35.2,
APT01,1,6/4/85,HQ,18.5,
APT01,1,6/5/85,HQ,0,
APT01,1,6/9/85,HQ,2.5,
APT01,1,6/10/85,HQ,1.8,
APT01,1,6/11/85,HQ,2.2,
APT01,1,6/14/85,HQ,26.4,
APT01,1,6/16/85,HQ,22.7,
APT01,1,6/17/85,HQ,0,
APT01,1,6/18/85,HQ,3.4,
APT01,1,6/21/85,HQ,48.8,
APT01,1,6/23/85,HQ,2.6,
APT01,1,6/26/85,HQ,11.9,
APT01,1,7/14/85,HQ,0.9,
APT01,1,7/19/85,HQ,0,
APT01,1,7/20/85,HQ,6.9,
APT01,1,7/21/85,HQ,6.3,
APT01,1,7/24/85,HQ,42.3,
APT01,1,7/30/85,HQ,0.3,
APT01,1,7/31/85,HQ,10.1,
APT01,1,8/3/85,HQ,44.3,
APT01,1,8/4/85,HQ,0,
APT01,1,8/6/85,HQ,11.4,
APT01,1,8/9/85,HQ,7,
APT01,1,8/10/85,HQ,11.9,
APT01,1,8/12/85,HQ,1,
APT01,1,8/13/85,HQ,0.9,
APT01,1,8/14/85,HQ,5.7,
APT01,1,8/17/85,HQ,0.9,
APT01,1,8/19/85,HQ,29.6,
APT01,1,8/22/85,HQ,15,
APT01,1,9/10/85,HQ,7,
APT01,1,9/12/85,HQ,19.5,
APT01,1,9/13/85,HQ,3.5,
APT01,1,9/20/85,HQ,54,
APT01,1,9/21/85,HQ,3,
APT01,1,9/22/85,HQ,14,
APT01,1,9/23/85,HQ,1,
APT01,1,9/24/85,HQ,0.5,
APT01,1,9/25/85,HQ,0.5,
APT01,1,9/28/85,HQ,20,
APT01,1,9/29/85,HQ,23,
APT01,1,10/3/85,HQ,0,
APT01,1,10/4/85,HQ,3,
APT01,1,10/8/85,HQ,2.5,
APT01,1,10/9/85,HQ,57.5,
APT01,1,10/10/85,HQ,14.5,
APT01,1,10/11/85,HQ,2.5,
APT01,1,10/12/85,HQ,0.5,
APT01,1,10/18/85,HQ,5,
APT01,1,10/19/85,HQ,1,
APT01,1,10/27/85,HQ,0,
APT01,1,11/6/85,HQ,2,
APT01,1,11/12/85,HQ,6.5,
APT01,1,11/13/85,HQ,1,
APT01,1,11/14/85,HQ,13,
APT01,1,11/15/85,HQ,2,
APT01,1,11/18/85,HQ,0.5,
APT01,1,11/26/85,HQ,0.5,
APT01,1,11/29/85,HQ,1,
APT01,1,11/30/85,HQ,0.5,
APT01,1,12/1/85,HQ,0.5,
APT01,1,12/7/85,HQ,2.5,
APT01,1,12/9/85,HQ,1,
APT01,1,12/10/85,HQ,6,
APT01,1,12/17/85,HQ,2.5,
APT01,1,12/19/85,HQ,0.5,
APT01,1,2/2/86,HQ,5.5,
APT01,1,2/3/86,HQ,14.5,
APT01,1,2/4/86,HQ,10.5,
APT01,1,2/6/86,HQ,0.5,
APT01,1,2/13/86,HQ,1,
APT01,1,2/14/86,HQ,1,
APT01,1,2/20/86,HQ,1,
APT01,1,3/9/86,HQ,6,
APT01,1,3/10/86,HQ,8.5,
APT01,1,3/11/86,HQ,4,
APT01,1,3/12/86,HQ,9,
APT01,1,3/16/86,HQ,1,
APT01,1,3/17/86,HQ,2,
APT01,1,3/18/86,HQ,4.5,
APT01,1,3/25/86,HQ,5,
APT01,1,3/31/86,HQ,17.5,
APT01,1,4/1/86,HQ,2.5,
APT01,1,4/2/86,HQ,2.5,
APT01,1,4/3/86,HQ,11,
APT01,1,4/6/86,HQ,0.5,
APT01,1,4/7/86,HQ,2,
APT01,1,4/13/86,HQ,11.5,
APT01,1,4/17/86,HQ,6,
APT01,1,4/18/86,HQ,2,
APT01,1,4/20/86,HQ,0,
APT01,1,4/25/86,HQ,1,
APT01,1,4/26/86,HQ,1,
APT01,1,4/27/86,HQ,15,
APT01,1,5/2/86,HQ,0.5,
APT01,1,5/3/86,HQ,3,
APT01,1,5/6/86,HQ,31,
APT01,1,5/7/86,HQ,4,
APT01,1,5/8/86,HQ,29,
APT01,1,5/9/86,HQ,1,
APT01,1,5/10/86,HQ,21.5,
APT01,1,5/11/86,HQ,0,
APT01,1,5/13/86,HQ,1.5,
APT01,1,5/14/86,HQ,0.5,
APT01,1,5/15/86,HQ,1,
APT01,1,5/16/86,HQ,44,
APT01,1,5/17/86,HQ,18.5,
APT01,1,5/21/86,HQ,0.5,
APT01,1,5/26/86,HQ,2,
APT01,1,5/27/86,HQ,10,
APT01,1,5/28/86,HQ,0,
APT01,1,5/30/86,HQ,0,
APT01,1,6/5/86,HQ,3,
APT01,1,6/6/86,HQ,10,
APT01,1,6/10/86,HQ,6,
APT01,1,6/21/86,HQ,15,
APT01,1,6/23/86,HQ,9.5,
APT01,1,6/29/86,HQ,103.5,
APT01,1,7/1/86,HQ,0,
APT01,1,7/6/86,HQ,34.5,
APT01,1,7/7/86,HQ,0.5,
APT01,1,7/8/86,HQ,0,
APT01,1,7/10/86,HQ,6,
APT01,1,7/11/86,HQ,13,
APT01,1,7/12/86,HQ,39.5,
APT01,1,7/13/86,HQ,1.5,
APT01,1,7/25/86,HQ,0.5,
APT01,1,7/26/86,HQ,4.5,
APT01,1,7/27/86,HQ,0.5,
APT01,1,8/1/86,HQ,6,
APT01,1,8/2/86,HQ,0.5,
APT01,1,8/4/86,HQ,1,
APT01,1,8/5/86,HQ,8.5,
APT01,1,8/6/86,HQ,0,
APT01,1,8/7/86,HQ,34.5,
APT01,1,8/9/86,HQ,28.5,
APT01,1,8/10/86,HQ,0,
APT01,1,8/12/86,HQ,9,
APT01,1,8/13/86,HQ,36.5,
APT01,1,8/18/86,HQ,16,
APT01,1,8/19/86,HQ,0,
APT01,1,8/20/86,HQ,13,
APT01,1,8/21/86,HQ,0,
APT01,1,8/26/86,HQ,15,
APT01,1,8/30/86,HQ,0,
APT01,1,9/6/86,HQ,9,
APT01,1,9/7/86,HQ,1,
APT01,1,9/10/86,HQ,50,
APT01,1,9/11/86,HQ,6.5,
APT01,1,9/12/86,HQ,0,
APT01,1,9/15/86,HQ,2,
APT01,1,9/16/86,HQ,6,
APT01,1,9/17/86,HQ,0.5,
APT01,1,9/22/86,HQ,0,
APT01,1,9/23/86,HQ,12.5,
APT01,1,9/24/86,HQ,1,
APT01,1,9/25/86,HQ,0.5,
APT01,1,9/26/86,HQ,16.5,
APT01,1,9/27/86,HQ,0.5,
APT01,1,9/28/86,HQ,12.5,
APT01,1,9/29/86,HQ,26,
APT01,1,9/30/86,HQ,10.5,
APT01,1,10/2/86,HQ,7,
APT01,1,10/3/86,HQ,28,
APT01,1,10/9/86,HQ,5.5,
APT01,1,10/10/86,HQ,14,
APT01,1,10/11/86,HQ,9,
APT01,1,10/12/86,HQ,0,
APT01,1,10/13/86,HQ,7,
APT01,1,10/14/86,HQ,0,
APT01,1,10/22/86,HQ,7.5,
APT01,1,10/24/86,HQ,63,
APT01,1,10/25/86,HQ,5,
APT01,1,10/31/86,HQ,1.5,
APT01,1,11/1/86,HQ,1,
APT01,1,11/3/86,HQ,6,
APT01,1,11/4/86,HQ,1,
APT01,1,11/5/86,HQ,0,
APT01,1,11/7/86,HQ,5,
APT01,1,11/10/86,HQ,3,
APT01,1,11/19/86,HQ,1,
APT01,1,12/1/86,HQ,3,
APT01,1,12/6/86,HQ,0.5,
APT01,1,12/7/86,HQ,17,
APT01,1,12/8/86,HQ,1,
APT01,1,12/9/86,HQ,3,
APT01,1,1/2/87,HQ,1,
APT01,1,1/3/87,HQ,4,
APT01,1,1/8/87,HQ,4,
APT01,1,1/9/87,HQ,8.5,
APT01,1,1/16/87,HQ,5,
APT01,1,1/17/87,HQ,2.5,
APT01,1,1/29/87,HQ,1,
APT01,1,1/31/87,HQ,0,
APT01,1,2/4/87,HQ,1,
APT01,1,2/5/87,HQ,2.5,
APT01,1,2/14/87,HQ,0.5,
APT01,1,2/15/87,HQ,4,
APT01,1,2/16/87,HQ,0.5,
APT01,1,2/26/87,HQ,4,
APT01,1,2/27/87,HQ,2,
APT01,1,2/28/87,HQ,32.5,
APT01,1,3/1/87,HQ,0,
APT01,1,3/16/87,HQ,11,
APT01,1,3/17/87,HQ,23,
APT01,1,3/18/87,HQ,26,
APT01,1,3/23/87,HQ,24.5,
APT01,1,3/24/87,HQ,1.5,
APT01,1,3/25/87,HQ,4,
APT01,1,3/28/87,HQ,3,
APT01,1,4/9/87,HQ,4.5,
APT01,1,4/12/87,HQ,3,
APT01,1,4/13/87,HQ,41,
APT01,1,4/14/87,HQ,9.5,
APT01,1,4/15/87,HQ,0,
APT01,1,4/20/87,HQ,0.5,
APT01,1,5/2/87,HQ,0,
APT01,1,5/4/87,HQ,16,
APT01,1,5/5/87,HQ,4,
APT01,1,5/6/87,HQ,1.5,
APT01,1,5/18/87,HQ,8,
APT01,1,5/20/87,HQ,15,
APT01,1,5/24/87,HQ,12,
APT01,1,5/25/87,HQ,1,
APT01,1,5/26/87,HQ,11,
APT01,1,5/27/87,HQ,77,
APT01,1,5/31/87,HQ,1,
APT01,1,6/10/87,HQ,3,
APT01,1,6/14/87,HQ,0.5,
APT01,1,6/17/87,HQ,0,
APT01,1,6/18/87,HQ,9,
APT01,1,6/20/87,HQ,48.5,
APT01,1,6/22/87,HQ,8,
APT01,1,6/24/87,HQ,27,
APT01,1,6/28/87,HQ,17.5,
APT01,1,6/29/87,HQ,2.5,
APT01,1,6/30/87,HQ,1,
APT01,1,7/5/87,HQ,5.5,
APT01,1,7/7/87,HQ,1.5,
APT01,1,7/12/87,HQ,7,
APT01,1,7/17/87,HQ,2,
APT01,1,7/18/87,HQ,0,
APT01,1,8/3/87,HQ,4,
APT01,1,8/4/87,HQ,44,
APT01,1,8/6/87,HQ,7,
APT01,1,8/8/87,HQ,1.5,
APT01,1,8/12/87,HQ,80.5,
APT01,1,8/13/87,HQ,1,
APT01,1,8/18/87,HQ,6,
APT01,1,8/24/87,HQ,2.5,
APT01,1,8/25/87,HQ,23,
APT01,1,8/26/87,HQ,23.5,
APT01,1,9/5/87,HQ,0,
APT01,1,9/6/87,HQ,4,
APT01,1,9/7/87,HQ,0.5,
APT01,1,9/9/87,HQ,13.5,
APT01,1,9/15/87,HQ,2.5,
APT01,1,9/28/87,HQ,2,
APT01,1,10/10/87,HQ,0.5,
APT01,1,10/14/87,HQ,3,
APT01,1,10/15/87,HQ,8,
APT01,1,10/16/87,HQ,13,
APT01,1,10/24/87,HQ,0,
APT01,1,10/25/87,HQ,18.5,
APT01,1,10/30/87,HQ,1,
APT01,1,10/31/87,HQ,25,
APT01,1,11/7/87,HQ,3.5,
APT01,1,11/15/87,HQ,10.5,
APT01,1,11/16/87,HQ,2.5,
APT01,1,11/24/87,HQ,3.5,
APT01,1,11/27/87,HQ,9.5,
APT01,1,11/28/87,HQ,6,
APT01,1,12/8/87,HQ,0.5,
APT01,1,12/14/87,HQ,7,
APT01,1,12/15/87,HQ,2.5,
APT01,1,12/19/87,HQ,16,
APT01,1,12/24/87,HQ,0.5,
APT01,1,12/26/87,HQ,7,
APT01,1,12/27/87,HQ,2,
APT01,1,1/7/88,HQ,3,
APT01,1,1/19/88,HQ,4,
APT01,1,2/3/88,HQ,8,
APT01,1,2/10/88,HQ,1.5,
APT01,1,2/14/88,HQ,2,
APT01,1,3/1/88,HQ,0,
APT01,1,3/7/88,HQ,2,
APT01,1,3/15/88,HQ,0.5,
APT01,1,3/16/88,HQ,5,
APT01,1,3/17/88,HQ,4,
APT01,1,3/31/88,HQ,13.5,
APT01,1,4/1/88,HQ,32.5,
APT01,1,4/5/88,HQ,1,
APT01,1,4/9/88,HQ,17.5,
APT01,1,4/17/88,HQ,9,
APT01,1,4/25/88,HQ,0,
APT01,1,4/26/88,HQ,0.5,
APT01,1,5/3/88,HQ,4,
APT01,1,5/8/88,HQ,2,
APT01,1,5/21/88,HQ,29,
APT01,1,5/22/88,HQ,2,
APT01,1,5/23/88,HQ,15,
APT01,1,5/29/88,HQ,1,
APT01,1,5/31/88,HQ,7,
APT01,1,6/1/88,HQ,1.5,
APT01,1,6/2/88,HQ,5.5,
APT01,1,6/14/88,HQ,3,
APT01,1,6/15/88,HQ,0.5,
APT01,1,6/29/88,HQ,6.5,
APT01,1,6/30/88,HQ,34,
APT01,1,7/1/88,HQ,0.5,
APT01,1,7/8/88,HQ,34,
APT01,1,7/9/88,HQ,65,
APT01,1,7/15/88,HQ,17.5,
APT01,1,7/17/88,HQ,2.5,
APT01,1,7/29/88,HQ,1,
APT01,1,7/30/88,HQ,1.5,
APT01,1,8/8/88,HQ,1.5,
APT01,1,8/9/88,HQ,6.5,
APT01,1,8/13/88,HQ,36,
APT01,1,8/19/88,HQ,1,
APT01,1,8/22/88,HQ,14,
APT01,1,8/27/88,HQ,1.5,
APT01,1,9/15/88,HQ,5.5,
APT01,1,9/19/88,HQ,25.5,
APT01,1,9/27/88,HQ,1.5,
APT01,1,9/28/88,HQ,10,
APT01,1,10/5/88,HQ,0.5,
APT01,1,10/6/88,HQ,0.5,
APT01,1,10/19/88,HQ,1.5,
APT01,1,10/20/88,HQ,3,
APT01,1,10/22/88,HQ,1.5,
APT01,1,11/9/88,HQ,3.5,
APT01,1,11/11/88,HQ,2,
APT01,1,11/15/88,HQ,19,
APT01,1,11/19/88,HQ,1,
APT01,1,11/26/88,HQ,2,
APT01,1,12/11/88,HQ,3,
APT01,1,12/19/88,HQ,2.5,
APT01,1,12/26/88,HQ,2.5,
APT01,1,1/5/89,HQ,2.5,
APT01,1,1/7/89,HQ,0.5,
APT01,1,1/25/89,HQ,4,
APT01,1,1/28/89,HQ,14.5,
APT01,1,2/4/89,HQ,0.5,
APT01,1,2/5/89,HQ,3,
APT01,1,2/6/89,HQ,0.5,
APT01,1,2/12/89,HQ,2.5,
APT01,1,2/14/89,HQ,2,
APT01,1,2/15/89,HQ,1,
APT01,1,2/18/89,HQ,0.5,
APT01,1,2/19/89,HQ,1,
APT01,1,2/20/89,HQ,1,
APT01,1,2/21/89,HQ,0.5,
APT01,1,2/26/89,HQ,3.5,
APT01,1,3/20/89,HQ,2,
APT01,1,3/27/89,HQ,5.5,
APT01,1,3/30/89,HQ,32,
APT01,1,4/2/89,HQ,5,
APT01,1,4/6/89,HQ,1,
APT01,1,4/27/89,HQ,4,
APT01,1,4/30/89,HQ,1.5,
APT01,1,5/2/89,HQ,2.5,
APT01,1,5/4/89,HQ,1,
APT01,1,5/8/89,HQ,4.5,
APT01,1,5/11/89,HQ,0.5,
APT01,1,5/13/89,HQ,0.5,
APT01,1,5/16/89,HQ,0.5,
APT01,1,5/17/89,HQ,5.5,
APT01,1,5/18/89,HQ,8,
APT01,1,5/21/89,HQ,14,
APT01,1,5/22/89,HQ,2,
APT01,1,5/28/89,HQ,0.5,
APT01,1,6/1/89,HQ,4,
APT01,1,6/2/89,HQ,1,
APT01,1,6/3/89,HQ,9,
APT01,1,6/4/89,HQ,2.5,
APT01,1,6/5/89,HQ,0,
APT01,1,6/10/89,HQ,21,
APT01,1,6/22/89,HQ,15,
APT01,1,6/23/89,HQ,1,
APT01,1,6/24/89,HQ,3,
APT01,1,6/26/89,HQ,10,
APT01,1,6/27/89,HQ,0.5,
APT01,1,6/30/89,HQ,2,
APT01,1,7/1/89,HQ,1,
APT01,1,7/3/89,HQ,0.5,
APT01,1,7/10/89,HQ,0.5,
APT01,1,7/11/89,HQ,1.5,
APT01,1,7/12/89,HQ,5,
APT01,1,7/14/89,HQ,0,
APT01,1,7/15/89,HQ,1,
APT01,1,7/17/89,HQ,18,
APT01,1,7/18/89,HQ,2,
APT01,1,7/23/89,HQ,7,
APT01,1,7/30/89,HQ,3,
APT01,1,7/31/89,HQ,13,
APT01,1,8/1/89,HQ,2,
APT01,1,8/3/89,HQ,1,
APT01,1,8/4/89,HQ,12.5,
APT01,1,8/5/89,HQ,1,
APT01,1,8/19/89,HQ,47.5,
APT01,1,8/20/89,HQ,22,
APT01,1,8/22/89,HQ,10.5,
APT01,1,8/24/89,HQ,7.5,
APT01,1,8/25/89,HQ,3,
APT01,1,8/27/89,HQ,33,
APT01,1,8/28/89,HQ,19.5,
